CONSUMO,RENDA,CONSUMO_codes
17,0,17
5,1,5
17,1,17
11,2,11
11,2,11
2,2,2
17,2,17
11,0,11
2,2,2
2,0,2
2,0,2
11,1,11
17,2,17
2,0,2
20,1,20
17,0,17
20,1,20
11,0,11
17,1,17
17,0,17
17,2,17
17,0,17
11,0,11
10,0,10
21,1,21
20,1,20
11,0,11
2,1,2
11,1,11
20,2,20
20,2,20
2,2,2
17,0,17
2,1,2
2,3,2
17,3,17
17,0,17
17,0,17
20,1,20
17,2,17
17,2,17
17,1,17
17,1,17
17,0,17
17,2,17
11,0,11
20,3,20
2,0,2
17,2,17
2,2,2
2,0,2
2,1,2
17,1,17
2,1,2
11,2,11
17,0,17
17,1,17
6,0,6
2,0,2
2,0,2
17,0,17
17,0,17
11,0,11
11,0,11
2,2,2
17,0,17
2,0,2
2,0,2
2,0,2
2,0,2
20,1,20
10,0,10
17,0,17
17,1,17
2,2,2
20,0,20
20,1,20
17,0,17
17,0,17
2,0,2
2,0,2
17,2,17
17,0,17
2,2,2
2,1,2
6,0,6
17,0,17
11,0,11
17,1,17
2,0,2
11,2,11
17,0,17
11,0,11
17,0,17
2,1,2
20,1,20
2,1,2
2,1,2
17,3,17
17,2,17
11,1,11
20,0,20
2,1,2
17,1,17
2,0,2
2,1,2
17,2,17
16,2,16
11,1,11
17,1,17
16,2,16
17,2,17
21,2,21
11,2,11
16,0,16
17,1,17
11,0,11
17,0,17
17,2,17
16,1,16
10,0,10
2,1,2
16,1,16
17,2,17
17,0,17
11,2,11
11,2,11
17,0,17
16,1,16
5,1,5
17,0,17
17,1,17
2,2,2
11,0,11
17,1,17
16,2,16
18,2,18
15,0,15
15,0,15
15,1,15
17,1,17
17,0,17
17,1,17
17,0,17
17,0,17
2,1,2
17,1,17
16,2,16
11,0,11
17,2,17
10,0,10
11,2,11
20,1,20
20,1,20
20,0,20
17,1,17
17,1,17
18,0,18
17,2,17
2,1,2
17,2,17
17,0,17
11,1,11
12,2,12
17,2,17
20,2,20
17,2,17
17,1,17
11,2,11
17,2,17
17,1,17
17,1,17
17,2,17
5,2,5
17,1,17
16,2,16
17,0,17
11,3,11
17,2,17
18,2,18
17,1,17
17,2,17
17,0,17
17,0,17
12,0,12
17,1,17
17,2,17
5,2,5
5,2,5
14,1,14
17,0,17
17,0,17
5,1,5
18,2,18
18,0,18
15,2,15
15,2,15
10,2,10
20,2,20
20,2,20
15,0,15
18,2,18
17,2,17
20,1,20
17,0,17
20,2,20
14,1,14
17,0,17
17,1,17
20,1,20
20,1,20
5,0,5
20,1,20
21,1,21
17,0,17
17,2,17
15,0,15
15,2,15
17,2,17
17,1,17
17,2,17
17,1,17
17,2,17
17,1,17
15,0,15
5,2,5
2,1,2
17,1,17
17,2,17
17,0,17
17,1,17
17,1,17
18,0,18
17,0,17
15,2,15
17,1,17
15,0,15
15,0,15
17,2,17
17,2,17
17,0,17
5,0,5
17,2,17
18,0,18
17,2,17
17,1,17
17,3,17
18,0,18
15,2,15
20,2,20
5,1,5
17,0,17
17,2,17
17,1,17
18,2,18
18,0,18
14,0,14
17,0,17
10,1,10
18,1,18
18,2,18
18,1,18
