CONSUMO,RENDA,IDADE,LATITUDE,LONGITUDE,CLUSTER
ARTIGOS ELETRO,"DE R$ 1.900,00 A R$ 3.800,00",45.0,-8.011778571,-34.88329592,0
SERVICO,"DE R$ 1.900,00 A R$ 3.800,00",41.0,-18.18101889,-47.94993778,0
SERVICO,"DE R$ 788,00 A R$ 1.140,00",48.0,,,0
ARTIGOS ELETRO,"MAIOR QUE R$ 7.600,00",55.0,-22.89141805,-43.2412226,0
SERVICO,"DE R$ 788,00 A R$ 1.140,00",70.0,-29.17971034,-54.85738922,0
SERVICO,"DE R$ 788,00 A R$ 1.140,00",47.0,-19.96343082,-44.14507,0
M.O.T.O.,"DE R$ 1.900,00 A R$ 3.800,00",63.0,-20.81188325,-49.53051597,0
M.O.T.O.,"DE R$ 3.800,00 A R$ 7.600,00",66.0,,,0
VAREJO,"MAIOR QUE R$ 7.600,00",83.0,-23.57919,-46.58323,0
ARTIGOS ELETRO,"DE R$ 1.900,00 A R$ 3.800,00",55.0,-22.87481871,-43.31854871,0
MOVEIS E DECOR,"DE R$ 1.900,00 A R$ 3.800,00",48.0,,,0
ARTIGOS ELETRO,"DE R$ 3.800,00 A R$ 7.600,00",73.0,-7.20559,-34.86201,0
ARTIGOS ELETRO,"DE R$ 1.900,00 A R$ 3.800,00",55.0,-17.23872526,-46.85555263,0
SERVICO,"DE R$ 1.900,00 A R$ 3.800,00",59.0,-29.62091077,-54.17866846,0
SERVICO,"DE R$ 1.900,00 A R$ 3.800,00",45.0,,,0
ARTIGOS ELETRO,"DE R$ 788,00 A R$ 1.140,00",82.0,-21.19243581,-47.73421452,0
ARTIGOS ELETRO,"DE R$ 1.900,00 A R$ 3.800,00",40.0,-16.32228596,-48.9580096,0
ARTIGOS ELETRO,"DE R$ 1.900,00 A R$ 3.800,00",47.0,-17.20868313,-46.87588687,0
ARTIGOS ELETRO,"DE R$ 1.900,00 A R$ 3.800,00",46.0,,,0
SERVICO,"DE R$ 788,00 A R$ 1.140,00",41.0,-12.28213394,-41.16574152,0
ARTIGOS ELETRO,"DE R$ 788,00 A R$ 1.140,00",40.0,-3.759175875,-40.81446579,0
SERVICO,"DE R$ 1.900,00 A R$ 3.800,00",44.0,-8.594262846,-35.12060664,0
ARTIGOS ELETRO,"DE R$ 3.800,00 A R$ 7.600,00",51.0,,,0
ARTIGOS ELETRO,"DE R$ 1.900,00 A R$ 3.800,00",50.0,-16.25258259,-47.95181456,0
SERVICO,"DE R$ 1.900,00 A R$ 3.800,00",39.0,-22.22372,-54.79839,0
ARTIGOS ELETRO,"DE R$ 3.800,00 A R$ 7.600,00",93.0,-22.914838,-43.185456,0
M.O.T.O.,"DE R$ 3.800,00 A R$ 7.600,00",47.0,-25.46550406,-49.2832729,0
ARTIGOS ELETRO,"DE R$ 3.800,00 A R$ 7.600,00",45.0,-25.47581344,-49.30081344,0
SEM RAMO,"DE R$ 788,00 A R$ 1.140,00",49.0,-16.58032,-39.55664,0
SERVICO,"DE R$ 3.800,00 A R$ 7.600,00",45.0,-12.94207,-38.48395,0
M.O.T.O.,"DE R$ 1.900,00 A R$ 3.800,00",41.0,-16.61315947,-49.21773737,0
SUPERMERCADOS,"DE R$ 1.900,00 A R$ 3.800,00",96.0,,,0
SEM RAMO,"DE R$ 3.800,00 A R$ 7.600,00",64.0,-12.89354,-38.43734,0
SERVICO,"DE R$ 1.900,00 A R$ 3.800,00",43.0,-5.287179756,-44.49035366,0
M.O.T.O.,"DE R$ 1.900,00 A R$ 3.800,00",36.0,,,0
M.O.T.O.,"DE R$ 788,00 A R$ 1.140,00",44.0,,,0
SERVICO,"DE R$ 3.800,00 A R$ 7.600,00",54.0,-22.88935,-43.31933,0
SUPERMERCADOS,"DE R$ 788,00 A R$ 1.140,00",81.0,-29.68702571,-51.07154429,0
SERVICO,"DE R$ 3.800,00 A R$ 7.600,00",58.0,-25.41068,-49.30225333,0
SERVICO,"DE R$ 1.900,00 A R$ 3.800,00",57.0,,,0
M.O.T.O.,"DE R$ 788,00 A R$ 1.140,00",47.0,-7.98711507,-34.90409,0
VAREJO,"DE R$ 3.800,00 A R$ 7.600,00",61.0,-22.89611091,-43.60537436,0
SUPERMERCADOS,"DE R$ 1.900,00 A R$ 3.800,00",43.0,-15.60442,-56.13676,0
SERVICO,"DE R$ 788,00 A R$ 1.140,00",83.0,-20.45947703,-45.44336351,0
SERVICO,"DE R$ 788,00 A R$ 1.140,00",46.0,-7.977349355,-34.85335845,0
SERVICO,"DE R$ 1.900,00 A R$ 3.800,00",47.0,-20.47920644,-54.64244178,0
SERVICO,"DE R$ 788,00 A R$ 1.140,00",66.0,-21.90793714,-47.595468,0
M.O.T.O.,"DE R$ 788,00 A R$ 1.140,00",85.0,-25.38064406,-49.27823188,0
SERVICO,"DE R$ 3.800,00 A R$ 7.600,00",48.0,-30.08237053,-51.22968421,0
SERVICO,"DE R$ 788,00 A R$ 1.140,00",81.0,-29.78815439,-51.85549341,0
SUPERMERCADOS,"DE R$ 788,00 A R$ 1.140,00",40.0,-12.6708,-39.10057,0
FARMACIAS,"DE R$ 788,00 A R$ 1.140,00",62.0,-29.850546,-51.128442,0
SERVICO,"DE R$ 1.900,00 A R$ 3.800,00",37.0,-11.69932541,-62.71867595,0
SERVICO,"DE R$ 1.900,00 A R$ 3.800,00",55.0,,,0
SUPERMERCADOS,"DE R$ 788,00 A R$ 1.140,00",94.0,-23.79008174,-45.58603957,0
RESTAURANTE,"DE R$ 788,00 A R$ 1.140,00",64.0,-25.51424592,-49.26451505,0
VAREJO,"DE R$ 788,00 A R$ 1.140,00",44.0,-12.96818315,-38.48969326,0
SUPERMERCADOS,"DE R$ 788,00 A R$ 1.140,00",75.0,-29.02712077,-51.18672731,0
SERVICO,"DE R$ 3.800,00 A R$ 7.600,00",67.0,,,0
VAREJO,"DE R$ 3.800,00 A R$ 7.600,00",48.0,-25.46833274,-49.2305263,0
SERVICO,"DE R$ 1.900,00 A R$ 3.800,00",38.0,-3.804671636,-38.61442436,0
SERVICO,"DE R$ 788,00 A R$ 1.140,00",43.0,-8.026649,-34.8668,0
RESTAURANTE,"DE R$ 1.900,00 A R$ 3.800,00",32.0,-3.131301404,-60.00653203,0
SERVICO,"DE R$ 3.800,00 A R$ 7.600,00",49.0,-23.66901644,-46.54913111,0
FARMACIAS,"DE R$ 788,00 A R$ 1.140,00",51.0,-15.25083817,-51.17084263,0
RESTAURANTE,"DE R$ 788,00 A R$ 1.140,00",102.0,-3.04973,-59.92065,0
SERVICO,"DE R$ 3.800,00 A R$ 7.600,00",44.0,-16.00072696,-54.91905304,0
VAREJO,"DE R$ 1.900,00 A R$ 3.800,00",43.0,,,0
SERVICO,"DE R$ 788,00 A R$ 1.140,00",47.0,-12.88775,-38.34703,0
SERVICO,"DE R$ 3.800,00 A R$ 7.600,00",56.0,-22.904544,-43.587324,0
SERVICO,"MAIOR QUE R$ 7.600,00",56.0,-22.952905,-43.17690833,0
SUPERMERCADOS,"DE R$ 1.900,00 A R$ 3.800,00",36.0,-4.784,-48.06636,0
RESTAURANTE,"DE R$ 788,00 A R$ 1.140,00",85.0,-8.357778,-36.696389,0
POSTO DE GAS,"DE R$ 788,00 A R$ 1.140,00",39.0,,,0
SERVICO,"DE R$ 788,00 A R$ 1.140,00",39.0,-9.373513333,-62.58157333,0
SERVICO,"DE R$ 3.800,00 A R$ 7.600,00",104.0,-22.927835,-43.173825,0
SUPERMERCADOS,"DE R$ 788,00 A R$ 1.140,00",34.0,-10.748056,-62.215833,0
LOJA DE DEPART,"DE R$ 3.800,00 A R$ 7.600,00",45.0,-30.08046742,-51.21955816,0
SUPERMERCADOS,"DE R$ 3.800,00 A R$ 7.600,00",58.0,-22.90982,-43.101498,0
VAREJO,"DE R$ 1.900,00 A R$ 3.800,00",41.0,,,0
SERVICO,"DE R$ 3.800,00 A R$ 7.600,00",80.0,-23.55738222,-46.63965333,0
SERVICO,"DE R$ 3.800,00 A R$ 7.600,00",54.0,-19.96250105,-43.39943,0
SERVICO,"DE R$ 788,00 A R$ 1.140,00",50.0,-21.24262,-47.9734,0
SERVICO,"DE R$ 1.900,00 A R$ 3.800,00",64.0,-29.688611,-51.461111,0
SERVICO,"DE R$ 1.900,00 A R$ 3.800,00",42.0,-31.77362194,-52.32604742,0
SERVICO,"DE R$ 1.900,00 A R$ 3.800,00",63.0,-7.954152115,-36.21384012,0
VESTUARIO,"DE R$ 788,00 A R$ 1.140,00",46.0,-3.579698333,-61.40564867,0
SERVICO,"DE R$ 788,00 A R$ 1.140,00",40.0,-2.553949354,-44.1928303,0
SERVICO,"DE R$ 3.800,00 A R$ 7.600,00",69.0,-12.546667,-38.711944,0
SERVICO,"DE R$ 788,00 A R$ 1.140,00",81.0,-18.7728605,-42.9312845,0
VAREJO,"DE R$ 788,00 A R$ 1.140,00",50.0,-16.74148222,-49.26735555,0
SERVICO,"DE R$ 3.800,00 A R$ 7.600,00",51.0,-30.04688,-51.16053,0
FARMACIAS,"DE R$ 788,00 A R$ 1.140,00",89.0,,,0
SUPERMERCADOS,"DE R$ 3.800,00 A R$ 7.600,00",52.0,-25.45976111,-49.22980889,0
SERVICO,"DE R$ 1.900,00 A R$ 3.800,00",33.0,-3.103439746,-60.05286466,0
RESTAURANTE,"DE R$ 3.800,00 A R$ 7.600,00",48.0,-25.39326346,-49.32719477,0
VESTUARIO,"DE R$ 3.800,00 A R$ 7.600,00",46.0,-12.903134,-38.445572,0
HOSP E CLINICA,"DE R$ 788,00 A R$ 1.140,00",30.0,-0.124705556,-67.09291259,0
VAREJO,"DE R$ 3.800,00 A R$ 7.600,00",55.0,-22.95492,-43.1879,0
RESTAURANTE,"DE R$ 1.900,00 A R$ 3.800,00",40.0,-3.779037059,-38.54969059,0
SUPERMERCADOS,"DE R$ 1.900,00 A R$ 3.800,00",57.0,-22.967294,-46.545642,0
SERVICO,"DE R$ 1.900,00 A R$ 3.800,00",40.0,-16.664445,-49.188065,0
SERVICO,"DE R$ 788,00 A R$ 1.140,00",49.0,-4.046110233,-40.86784674,0
FARMACIAS,"DE R$ 3.800,00 A R$ 7.600,00",72.0,-23.60293702,-46.4970195,0
SERVICO,"DE R$ 788,00 A R$ 1.140,00",74.0,-1.021667,-46.635,0
POSTO DE GAS,"DE R$ 1.900,00 A R$ 3.800,00",44.0,-22.90426,-47.0449,0
VESTUARIO,"DE R$ 3.800,00 A R$ 7.600,00",50.0,,,0
POSTO DE GAS,"DE R$ 1.900,00 A R$ 3.800,00",78.0,-23.54715,-46.65664,0
RESTAURANTE,"DE R$ 788,00 A R$ 1.140,00",55.0,-7.309815,-38.945143,0
POSTO DE GAS,"DE R$ 3.800,00 A R$ 7.600,00",64.0,-21.14462646,-47.99357042,0
VESTUARIO,"DE R$ 1.900,00 A R$ 3.800,00",41.0,-14.47136,-48.47128,0
SERVICO,"DE R$ 788,00 A R$ 1.140,00",33.0,-3.007324848,-59.99988899,0
SERVICO,"DE R$ 1.900,00 A R$ 3.800,00",43.0,-14.76927593,-39.26479185,0
VAREJO,"DE R$ 788,00 A R$ 1.140,00",50.0,-9.713056,-63.320833,0
SERVICO,"DE R$ 1.900,00 A R$ 3.800,00",43.0,-29.84402907,-51.16798058,0
SERVICO,"DE R$ 1.900,00 A R$ 3.800,00",62.0,-22.72243,-43.5742,0
SERVICO,"DE R$ 3.800,00 A R$ 7.600,00",65.0,-25.44998273,-49.17937,0
SERVICO,"DE R$ 1.900,00 A R$ 3.800,00",45.0,-29.759832,-51.09082667,0
SERVICO,"DE R$ 788,00 A R$ 1.140,00",91.0,-7.575179714,-40.50033246,0
SUPERMERCADOS,"DE R$ 1.900,00 A R$ 3.800,00",66.0,-29.64768257,-50.77837147,0
SERVICO,"DE R$ 3.800,00 A R$ 7.600,00",75.0,-20.52364365,-47.42845346,0
SERVICO,"DE R$ 788,00 A R$ 1.140,00",50.0,-19.48180059,-42.57905471,0
RESTAURANTE,"DE R$ 788,00 A R$ 1.140,00",43.0,-13.398333,-46.318333,0
SERVICO,"DE R$ 788,00 A R$ 1.140,00",48.0,-7.573158809,-40.50768379,0
SERVICO,"DE R$ 3.800,00 A R$ 7.600,00",68.0,-23.55697611,-46.63515611,0
SERVICO,"DE R$ 788,00 A R$ 1.140,00",76.0,-8.116352308,-35.11190846,0
M.O.T.O.,"DE R$ 3.800,00 A R$ 7.600,00",41.0,-4.4661,-43.89193,0
SERVICO,"DE R$ 788,00 A R$ 1.140,00",54.0,-19.982778,-44.858889,0
JOALHERIA,"DE R$ 788,00 A R$ 1.140,00",50.0,-19.98775706,-44.85093235,0
SERVICO,"DE R$ 1.900,00 A R$ 3.800,00",47.0,-25.37348,-49.44824,0
SERVICO,"DE R$ 1.900,00 A R$ 3.800,00",44.0,-7.966951836,-34.83228698,0
SERVICO,"DE R$ 788,00 A R$ 1.140,00",44.0,-30.704167,-52.1075,0
SERVICO,"DE R$ 788,00 A R$ 1.140,00",49.0,-22.295833,-44.934722,0
SERVICO,"DE R$ 1.900,00 A R$ 3.800,00",45.0,-22.19832968,-54.81237456,0
SERVICO,"DE R$ 3.800,00 A R$ 7.600,00",55.0,-22.86741333,-43.27266,0
M.O.T.O.,"DE R$ 1.900,00 A R$ 3.800,00",43.0,-12.96921915,-38.44320917,0
POSTO DE GAS,"DE R$ 1.900,00 A R$ 3.800,00",49.0,-11.43315,-58.755945,0
SERVICO,"DE R$ 1.900,00 A R$ 3.800,00",49.0,,,0
VESTUARIO,"DE R$ 788,00 A R$ 1.140,00",41.0,-1.298611,-48.160556,0
SUPERMERCADOS,"DE R$ 3.800,00 A R$ 7.600,00",46.0,-8.08956,-34.97193,0
SUPERMERCADOS,"DE R$ 3.800,00 A R$ 7.600,00",44.0,-30.1075,-51.25718,0
SUPERMERCADOS,"DE R$ 788,00 A R$ 1.140,00",79.0,-31.86319188,-52.81925101,0
MOVEIS E DECOR,"DE R$ 1.900,00 A R$ 3.800,00",64.0,-21.86500778,-42.66912667,0
SERVICO,"DE R$ 1.900,00 A R$ 3.800,00",41.0,-16.74877788,-49.28733014,0
VESTUARIO,"DE R$ 3.800,00 A R$ 7.600,00",69.0,-23.5761,-45.31695,0
FARMACIAS,"DE R$ 1.900,00 A R$ 3.800,00",41.0,-21.9766987,-54.67826739,0
SUPERMERCADOS,"DE R$ 1.900,00 A R$ 3.800,00",50.0,-19.77665618,-44.02377912,0
SERVICO,"DE R$ 1.900,00 A R$ 3.800,00",41.0,-26.393889,-52.348611,0
SERVICO,"DE R$ 1.900,00 A R$ 3.800,00",41.0,-12.94781273,-38.45301182,0
SERVICO,"DE R$ 3.800,00 A R$ 7.600,00",44.0,-12.86421188,-38.47456396,0
VAREJO,"DE R$ 1.900,00 A R$ 3.800,00",49.0,-17.5754027,-54.7582527,0
SERVICO,"DE R$ 788,00 A R$ 1.140,00",57.0,-16.36127941,-49.50874824,0
SERVICO,"DE R$ 1.900,00 A R$ 3.800,00",47.0,-7.892314118,-35.18141235,0
RESTAURANTE,"DE R$ 3.800,00 A R$ 7.600,00",54.0,-22.8576,-43.48879,0
M.O.T.O.,"DE R$ 1.900,00 A R$ 3.800,00",48.0,-25.47789143,-49.21227214,0
VESTUARIO,"DE R$ 1.900,00 A R$ 3.800,00",69.0,-25.47671243,-49.31719703,0
SERVICO,"DE R$ 788,00 A R$ 1.140,00",38.0,-1.341715556,-48.42364889,0
SERVICO,"DE R$ 1.900,00 A R$ 3.800,00",41.0,-3.274722,-45.658333,0
SERVICO,"DE R$ 1.900,00 A R$ 3.800,00",67.0,-21.0852513,-45.57049913,0
RESTAURANTE,"DE R$ 1.900,00 A R$ 3.800,00",60.0,,,0
VESTUARIO,"DE R$ 3.800,00 A R$ 7.600,00",41.0,-30.10153756,-51.14212268,0
SERVICO,"DE R$ 3.800,00 A R$ 7.600,00",46.0,-28.2550938,-52.40518283,0
SERVICO,"MAIOR QUE R$ 7.600,00",,-23.51961385,-46.71795769,0
SERVICO,"DE R$ 1.900,00 A R$ 3.800,00",68.0,-22.24874207,-53.35139931,0
SERVICO,"DE R$ 3.800,00 A R$ 7.600,00",42.0,-6.531506698,-49.85218294,0
SERVICO,"DE R$ 3.800,00 A R$ 7.600,00",64.0,-22.86924,-43.47172,0
RESTAURANTE,"DE R$ 788,00 A R$ 1.140,00",41.0,-23.07100774,-54.19194585,0
RESTAURANTE,"DE R$ 3.800,00 A R$ 7.600,00",45.0,-29.9561617,-51.15894064,0
SEM RAMO,"DE R$ 3.800,00 A R$ 7.600,00",47.0,-25.54473984,-49.18539934,0
LOJA DE DEPART,"DE R$ 788,00 A R$ 1.140,00",39.0,-3.554565,-46.251445,0
SERVICO,"DE R$ 3.800,00 A R$ 7.600,00",44.0,-30.01551413,-51.16343688,0
SUPERMERCADOS,"DE R$ 3.800,00 A R$ 7.600,00",56.0,,,0
SERVICO,"DE R$ 788,00 A R$ 1.140,00",61.0,,,0
VESTUARIO,"DE R$ 1.900,00 A R$ 3.800,00",43.0,-29.58011579,-51.36619263,0
LOJA DE DEPART,"DE R$ 788,00 A R$ 1.140,00",46.0,-19.95550371,-54.89095857,0
SERVICO,"DE R$ 3.800,00 A R$ 7.600,00",46.0,,,0
POSTO DE GAS,"DE R$ 3.800,00 A R$ 7.600,00",54.0,-22.88119,-43.56491,0
SERVICO,"DE R$ 1.900,00 A R$ 3.800,00",45.0,-30.85520653,-51.81553408,0
SUPERMERCADOS,"DE R$ 788,00 A R$ 1.140,00",44.0,-23.72901528,-46.69984393,0
TRANS FINANC,"DE R$ 3.800,00 A R$ 7.600,00",59.0,-22.89899657,-43.55934629,0
SERVICO,"DE R$ 788,00 A R$ 1.140,00",77.0,-22.9315275,-43.683145,0
SERVICO,"DE R$ 1.900,00 A R$ 3.800,00",78.0,-20.14763727,-44.20732818,0
SERVICO,"DE R$ 3.800,00 A R$ 7.600,00",64.0,-26.33121,-48.833685,0
SERVICO,"DE R$ 788,00 A R$ 1.140,00",75.0,-19.22061248,-45.96875433,0
SERVICO,"DE R$ 1.900,00 A R$ 3.800,00",35.0,,,0
SERVICO,"DE R$ 3.800,00 A R$ 7.600,00",59.0,-11.04994127,-41.97286141,0
SERVICO,"DE R$ 1.900,00 A R$ 3.800,00",43.0,-12.93029696,-38.49275775,0
SERVICO,"DE R$ 3.800,00 A R$ 7.600,00",69.0,-23.59810615,-46.79592,0
VAREJO,"DE R$ 1.900,00 A R$ 3.800,00",57.0,-8.136333,-34.935023,0
SERVICO,"DE R$ 788,00 A R$ 1.140,00",71.0,-19.90536881,-43.67634985,0
