CONSUMO,RENDA,IDADE,LATITUDE,LONGITUDE,CLUSTER
M.O.T.O.,"DE R$ 788,00 A R$ 1.140,00",46.0,-15.059042,-48.163372,0
M.O.T.O.,"DE R$ 1.900,00 A R$ 3.800,00",40.0,-7.191076842,-48.19394263,0
M.O.T.O.,"DE R$ 3.800,00 A R$ 7.600,00",89.0,-28.29048,-52.8147,0
ARTIGOS ELETRO,"DE R$ 1.900,00 A R$ 3.800,00",34.0,-4.946685556,-48.39730667,0
SERVICO,"DE R$ 1.900,00 A R$ 3.800,00",49.0,-18.45250818,-44.17324348,0
M.O.T.O.,"DE R$ 3.800,00 A R$ 7.600,00",41.0,,,0
ARTIGOS ELETRO,"DE R$ 3.800,00 A R$ 7.600,00",38.0,-15.56318,-56.03007,0
VAREJO,"DE R$ 788,00 A R$ 1.140,00",56.0,-17.56342432,-54.75659811,0
ARTIGOS ELETRO,"DE R$ 788,00 A R$ 1.140,00",32.0,-4.450312,-49.119106,0
SERVICO,"DE R$ 1.900,00 A R$ 3.800,00",43.0,-0.626620857,-47.34751286,0
SERVICO,"DE R$ 788,00 A R$ 1.140,00",39.0,,,0
SERVICO,"DE R$ 1.900,00 A R$ 3.800,00",64.0,-18.41667338,-49.24538127,0
SERVICO,"DE R$ 788,00 A R$ 1.140,00",47.0,-19.96343082,-44.14507,0
SERVICO,"DE R$ 3.800,00 A R$ 7.600,00",54.0,-12.95471467,-38.48534281,0
SERVICO,"DE R$ 788,00 A R$ 1.140,00",96.0,-23.9307481,-46.40022069,0
M.O.T.O.,"DE R$ 1.900,00 A R$ 3.800,00",63.0,-20.81188325,-49.53051597,0
VAREJO,"MAIOR QUE R$ 7.600,00",83.0,-23.57919,-46.58323,0
ARTIGOS ELETRO,"DE R$ 1.900,00 A R$ 3.800,00",68.0,-7.995210769,-34.89255077,0
SERVICO,"DE R$ 1.900,00 A R$ 3.800,00",54.0,-16.36571393,-39.59195206,0
SERVICO,"DE R$ 1.900,00 A R$ 3.800,00",34.0,-4.953252083,-47.49343292,0
VAREJO,"DE R$ 1.900,00 A R$ 3.800,00",39.0,-16.74586719,-49.25286063,0
SERVICO,"DE R$ 1.900,00 A R$ 3.800,00",43.0,-29.89829422,-51.14473193,0
SERVICO,"DE R$ 788,00 A R$ 1.140,00",57.0,,,0
ARTIGOS ELETRO,"DE R$ 1.900,00 A R$ 3.800,00",72.0,,,0
SERVICO,"DE R$ 1.900,00 A R$ 3.800,00",45.0,-30.023517,-51.078831,0
ARTIGOS ELETRO,"DE R$ 788,00 A R$ 1.140,00",40.0,-3.759175875,-40.81446579,0
HOSP E CLINICA,"DE R$ 1.900,00 A R$ 3.800,00",45.0,-16.41639594,-39.09442149,0
SERVICO,"DE R$ 1.900,00 A R$ 3.800,00",44.0,-8.594262846,-35.12060664,0
SERVICO,"DE R$ 1.900,00 A R$ 3.800,00",39.0,-22.22372,-54.79839,0
VESTUARIO,"DE R$ 788,00 A R$ 1.140,00",47.0,,,0
SERVICO,"DE R$ 788,00 A R$ 1.140,00",55.0,,,0
M.O.T.O.,"DE R$ 3.800,00 A R$ 7.600,00",47.0,,,0
SERVICO,"DE R$ 3.800,00 A R$ 7.600,00",61.0,-22.80773374,-43.58830231,0
ARTIGOS ELETRO,"DE R$ 3.800,00 A R$ 7.600,00",45.0,-25.47581344,-49.30081344,0
SERVICO,"DE R$ 788,00 A R$ 1.140,00",37.0,-3.760596662,-47.50568126,0
SEM RAMO,"DE R$ 788,00 A R$ 1.140,00",49.0,-16.58032,-39.55664,0
M.O.T.O.,"DE R$ 788,00 A R$ 1.140,00",41.0,-29.47880417,-51.95731772,0
SERVICO,"DE R$ 3.800,00 A R$ 7.600,00",45.0,-12.94207,-38.48395,0
M.O.T.O.,"DE R$ 1.900,00 A R$ 3.800,00",41.0,-16.61315947,-49.21773737,0
SERVICO,"DE R$ 1.900,00 A R$ 3.800,00",46.0,-25.48105131,-49.31140923,0
SUPERMERCADOS,"DE R$ 1.900,00 A R$ 3.800,00",96.0,,,0
M.O.T.O.,"DE R$ 788,00 A R$ 1.140,00",40.0,-16.66221916,-49.26432115,0
SERVICO,"DE R$ 1.900,00 A R$ 3.800,00",40.0,-20.48113322,-54.63330671,0
M.O.T.O.,"DE R$ 788,00 A R$ 1.140,00",44.0,,,0
ARTIGOS ELETRO,"DE R$ 788,00 A R$ 1.140,00",44.0,-31.00404857,-52.05094571,0
SEM RAMO,"DE R$ 788,00 A R$ 1.140,00",46.0,-18.40560503,-49.24000832,0
SERVICO,"DE R$ 1.900,00 A R$ 3.800,00",44.0,,,0
SERVICO,"DE R$ 3.800,00 A R$ 7.600,00",58.0,-25.41068,-49.30225333,0
SERVICO,"DE R$ 3.800,00 A R$ 7.600,00",48.0,-12.94836,-38.46522,0
SERVICO,"DE R$ 1.900,00 A R$ 3.800,00",44.0,-21.48140789,-56.14206079,0
SERVICO,"DE R$ 1.900,00 A R$ 3.800,00",57.0,,,0
SERVICO,"DE R$ 3.800,00 A R$ 7.600,00",55.0,-22.90500284,-43.55674007,0
M.O.T.O.,"DE R$ 1.900,00 A R$ 3.800,00",43.0,-15.83866,-48.017475,0
SERVICO,"DE R$ 788,00 A R$ 1.140,00",62.0,-6.513333,-41.584167,0
M.O.T.O.,"DE R$ 788,00 A R$ 1.140,00",47.0,-7.98711507,-34.90409,0
VAREJO,"DE R$ 3.800,00 A R$ 7.600,00",61.0,-22.89611091,-43.60537436,0
VAREJO,"DE R$ 1.900,00 A R$ 3.800,00",40.0,-23.78569851,-54.28597501,0
SERVICO,"DE R$ 788,00 A R$ 1.140,00",83.0,-20.45947703,-45.44336351,0
ARTIGOS ELETRO,"DE R$ 3.800,00 A R$ 7.600,00",45.0,-25.56493,-49.21206,0
SERVICO,"DE R$ 788,00 A R$ 1.140,00",46.0,-7.977349355,-34.85335845,0
SERVICO,"DE R$ 1.900,00 A R$ 3.800,00",47.0,-20.47920644,-54.64244178,0
M.O.T.O.,"DE R$ 3.800,00 A R$ 7.600,00",45.0,-12.67341869,-38.5434941,0
VAREJO,"DE R$ 788,00 A R$ 1.140,00",34.0,2.846500741,-60.70859852,0
