IDADE_codes,RENDA_codes,CONSUMO_codes,LATITUDE_codes,LONGITUDE_codes,CLUSTER
21.0,2.0,9.0,135.0,460.0,3
32.0,1.0,19.0,497.0,210.0,2
48.0,1.0,9.0,561.0,373.0,2
31.0,2.0,18.0,220.0,903.0,2
41.00000000000001,1.0,9.0,-1.0,-1.0,1
13.0,2.0,9.0,-1.0,-1.0,3
23.0,0.0,11.000000000000002,-1.0,-1.0,1
48.0,1.0,1.0,929.0,1.9999999999999996,2
15.0,2.0,9.0,11.0,451.0,3
20.0,0.0,15.000000000000002,-1.0,-1.0,1
22.0,0.0,9.0,949.0,17.0,0
23.0,1.0,15.000000000000002,630.0,530.0,2
19.0,2.0,1.0,904.0,417.0,2
32.0,2.0,15.000000000000002,-1.0,-1.0,3
46.99999999999999,0.0,1.0,-1.0,-1.0,1
16.0,2.0,15.000000000000002,60.99999999999999,156.0,3
26.0,1.0,1.0,-1.0,-1.0,1
29.0,1.0,15.000000000000002,-1.0,-1.0,1
24.0,2.0,14.0,182.0,119.0,3
20.0,1.0,15.000000000000002,73.0,79.0,1
71.0,0.0,16.0,-1.0,-1.0,1
9.0,0.0,8.0,791.0,957.0,0
19.0,2.0,1.0,868.0,780.0,2
19.0,0.0,15.000000000000002,-1.0,-1.0,1
41.99999999999999,1.0,1.0,533.0,351.0,2
60.0,2.0,9.0,608.0,548.0,2
24.0,0.0,1.0,-1.0,-1.0,1
13.0,0.0,16.0,-1.0,-1.0,1
56.0,2.0,15.000000000000002,233.0,676.0,2
20.0,0.0,10.0,232.0,678.0,0
19.0,0.0,15.000000000000002,134.0,128.0,1
69.0,2.0,16.0,569.0,324.0,2
21.0,2.0,16.0,-1.0,-1.0,3
19.0,2.0,18.0,79.0,80.0,3
23.0,1.0,18.0,627.0,531.0,2
37.0,1.0,18.0,639.0,563.0,2
7.0,0.0,12.999999999999998,797.0,962.0,0
24.0,1.0,15.000000000000002,562.0,356.0,2
15.0,2.0,15.000000000000002,-1.0,-1.0,3
4.0,2.0,15.000000000000002,800.0,793.0,2
26.0,2.0,4.0,141.0,691.0,2
18.0,0.0,18.0,-1.0,-1.0,1
20.0,0.0,12.999999999999998,758.0,732.0,0
19.0,0.0,12.999999999999998,874.0,833.0,0
16.0,2.0,15.000000000000002,404.0,923.0,2
45.99999999999999,2.0,15.000000000000002,729.0,824.0,2
22.0,0.0,18.0,-1.0,-1.0,1
14.0,2.0,12.0,-1.0,-1.0,3
17.0,0.0,16.0,804.0,102.0,0
19.0,0.0,15.000000000000002,872.0,797.0,0
20.0,1.0,8.0,841.0,711.0,0
25.0,1.0,16.0,487.0,205.0,2
16.0,0.0,18.0,-1.0,-1.0,1
-1.0,3.0,15.000000000000002,502.0,218.0,2
41.99999999999999,1.0,18.0,558.0,374.0,2
13.0,0.0,18.0,195.0,576.0,0
26.0,1.0,19.0,629.0,537.0,2
39.0,0.0,15.000000000000002,764.0,734.0,0
19.0,0.0,15.000000000000002,-1.0,-1.0,1
26.0,1.0,15.000000000000002,835.0,685.0,0
64.0,2.0,4.0,-1.0,-1.0,3
32.0,2.0,12.999999999999998,-1.0,-1.0,3
2.0,2.0,4.0,18.0,633.0,2
